,Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
count,1067371,1067371,1062989,1067371.0,1067371,1067371.0,824364.0,1067371
unique,53628,5305,5698,,,,,43
top,537434,85123A,WHITE HANGING HEART T-LIGHT HOLDER,,,,,United Kingdom
freq,1350,5829,5918,,,,,981330
mean,,,,9.9388984711033,2011-01-02 21:13:55.394028544,4.649387727416239,15324.63850435002,
min,,,,-80995.0,2009-12-01 07:45:00,-53594.36,12346.0,
25%,,,,1.0,2010-07-09 09:46:00,1.25,13975.0,
50%,,,,3.0,2010-12-07 15:28:00,2.1,15255.0,
75%,,,,10.0,2011-07-22 10:23:00,4.15,16797.0,
max,,,,80995.0,2011-12-09 12:50:00,38970.0,18287.0,
std,,,,172.70579407675342,,123.5530587214632,1697.4644503793095,
